 VARIABLES = X, Y, u, v
I= 71, J= 39
 0.00000000E+00 -9.49012463E+00 -1.37809533E-02  6.84610951E-04
 9.59131400E-01 -9.49012463E+00 -1.41927892E-02 -2.60179309E-04
 1.91826280E+00 -9.49012463E+00 -1.49870148E-02 -1.99917565E-03
 2.87739420E+00 -9.49012463E+00 -1.56745012E-02 -1.22387324E-03
 3.83652560E+00 -9.49012463E+00 -1.85418509E-02 -1.69235372E-04
 4.79565700E+00 -9.49012463E+00 -1.98997266E-02 -9.26917732E-05
 5.75478840E+00 -9.49012463E+00 -1.53832248E-02 -1.51186066E-03
 6.71391990E+00 -9.49012463E+00 -2.11313474E-02  3.17990745E-03
 7.67305130E+00 -9.49012463E+00 -1.46577296E-02  3.36939447E-03
 8.63218270E+00 -9.49012463E+00 -1.13677781E-02  2.05859262E-03
 9.59131410E+00 -9.49012463E+00 -1.59223174E-02  5.78904973E-04
 1.05504455E+01 -9.49012463E+00 -1.70333317E-02  1.21749456E-03
 1.15095769E+01 -9.49012463E+00 -1.30317536E-02  7.47424840E-04
 1.24687083E+01 -9.49012463E+00 -1.54178684E-02  5.60982341E-04
 1.34278397E+01 -9.49012463E+00 -3.07814310E-02  4.44735760E-03
 1.43869712E+01 -9.49012463E+00 -3.83240598E-02  2.94921919E-03
 1.53461026E+01 -9.49012463E+00 -5.08730360E-02  4.11183455E-03
 1.63052340E+01 -9.49012463E+00 -5.77077975E-02  1.22357760E-02
 1.72643654E+01 -9.49012463E+00 -9.47265452E-02  7.92162502E-03
 1.82234968E+01 -9.49012463E+00 -1.29406334E-01  1.95203081E-02
 1.91826282E+01 -9.49012463E+00 -1.55131260E-01  5.27911773E-03
 2.01417596E+01 -9.49012463E+00 -1.32949301E-01 -3.08076804E-03
 2.11008911E+01 -9.49012463E+00 -1.16291277E-01 -8.08559814E-03
 2.20600225E+01 -9.49012463E+00 -1.21381248E-01 -1.23377519E-02
 2.30191539E+01 -9.49012463E+00 -7.34569236E-02 -1.05008600E-02
 2.39782853E+01 -9.49012463E+00 -4.71114022E-02 -4.57051359E-03
 2.49374167E+01 -9.49012463E+00 -2.30386524E-02 -5.93651438E-03
 2.58965481E+01 -9.49012463E+00 -1.01510458E-02 -5.76198615E-03
 2.68556795E+01 -9.49012463E+00 -1.37127311E-03 -1.93598310E-03
 2.78148109E+01 -9.49012463E+00  6.21339077E-03 -1.74762803E-03
 2.87739424E+01 -9.49012463E+00  9.03230910E-03  1.85648951E-03
 2.97330738E+01 -9.49012463E+00  8.75262409E-03 -7.70352194E-04
 3.06922052E+01 -9.49012463E+00  3.70722272E-03 -2.01640956E-03
 3.16513366E+01 -9.49012463E+00 -2.68955148E-03  1.96221861E-04
 3.26104680E+01 -9.49012463E+00 -1.09915590E-02  4.59102980E-03
 3.35695994E+01 -9.49012463E+00 -2.01941390E-02  1.62318505E-03
 3.45287308E+01 -9.49012463E+00 -3.44327643E-02  2.98295367E-03
 3.54878622E+01 -9.49012463E+00 -3.73945947E-02  2.42022132E-03
 3.64469937E+01 -9.49012463E+00 -3.41533815E-02  5.53365113E-03
 3.74061251E+01 -9.49012463E+00 -3.04876434E-02 -1.46518217E-04
 3.83652565E+01 -9.49012463E+00 -5.10135840E-02  1.19070813E-03
 3.93243879E+01 -9.49012463E+00 -4.08415428E-02 -6.26578611E-04
 4.02835193E+01 -9.49012463E+00 -3.70901520E-02  5.93068777E-05
 4.12426507E+01 -9.49012463E+00 -3.78192296E-02 -6.30696562E-04
 4.22017821E+01 -9.49012463E+00 -3.94423868E-02 -2.42547253E-03
 4.31609136E+01 -9.49012463E+00 -5.16974590E-02  2.36807458E-03
 4.41200450E+01 -9.49012463E+00 -4.97402216E-02  4.64175480E-03
 4.50791764E+01 -9.49012463E+00 -5.48491881E-02 -1.77049316E-04
 4.60383078E+01 -9.49012463E+00 -8.92687959E-02 -2.18580462E-03
 4.69974392E+01 -9.49012463E+00 -9.40734789E-02  3.63638950E-03
 4.79565706E+01 -9.49012463E+00 -1.01829154E-01  5.62988275E-03
 4.89157020E+01 -9.49012463E+00 -1.76227835E-01  9.76712387E-03
 4.98748334E+01 -9.49012463E+00 -2.07546751E-01  7.88680748E-03
 5.08339649E+01 -9.49012463E+00 -2.42314290E-01  1.20010115E-02
 5.17930963E+01 -9.49012463E+00 -2.64125371E-01 -4.84698332E-03
 5.27522277E+01 -9.49012463E+00 -2.76152398E-01 -6.64974646E-03
 5.37113591E+01 -9.49012463E+00 -3.24300288E-01  4.14828571E-03
 5.46704905E+01 -9.49012463E+00 -3.14950481E-01  1.65886693E-02
 5.56296219E+01 -9.49012463E+00 -2.95082943E-01  6.97371474E-03
 5.65887533E+01 -9.49012463E+00 -3.34492863E-01 -1.66624511E-04
 5.75478848E+01 -9.49012463E+00 -3.55474895E-01 -3.14804497E-03
 5.85070162E+01 -9.49012463E+00 -3.25380122E-01 -5.11285070E-03
 5.94661476E+01 -9.49012463E+00 -2.87268351E-01 -1.71181298E-02
 6.04252790E+01 -9.49012463E+00 -2.48797996E-01 -2.71778424E-02
 6.13844104E+01 -9.49012463E+00 -2.25492735E-01 -8.58721606E-03
 6.23435418E+01 -9.49012463E+00 -2.07369357E-01  1.20363343E-02
 6.33026732E+01 -9.49012463E+00 -2.03547993E-01  4.38214022E-03
 6.42618046E+01 -9.49012463E+00 -1.78702095E-01 -1.53477741E-02
 6.52209361E+01 -9.49012463E+00 -1.73691060E-01 -1.51757660E-02
 6.61800675E+01 -9.49012463E+00 -1.38400516E-01 -2.68596684E-02
 6.71391989E+01 -9.49012463E+00 -6.90749774E-02 -2.32401192E-02
 0.00000000E+00 -8.98048077E+00 -2.38454002E-02  3.02803054E-03
